message,intent,sentiment,pii
Can I use the app on multiple devices?,Technical,Neutral,No
Where can I report a bug?,Technical,Neutral,No
Is maintenance currently in progress?,Technical,Neutral,No
How do I update to the latest version?,Technical,Neutral,No
Can you share the system requirements?,Technical,Neutral,No
Why is the app asking for permissions?,Technical,Neutral,No
"The latest update fixed my issue, thanks!",Technical,Positive,No
Everything is working perfectly now.,Technical,Positive,No
The app runs much faster after the update.,Technical,Positive,No
Thanks for resolving the bug quickly.,Technical,Positive,No
The website is working again now.,Technical,Positive,No
I appreciate the fast technical support.,Technical,Positive,No
The app crashes when I log in as john.smith@email.com.,Technical,Negative,Yes
Please investigate this error on account ID 548921.,Technical,Neutral,Yes
My registered phone number 9876543210 isn't receiving OTPs.,Technical,Negative,Yes
I keep receiving verification codes I didn't request.,Security,Negative,No
Someone may have accessed my account.,Security,Negative,No
I noticed suspicious login activity yesterday.,Security,Negative,No
My account was locked without warning.,Security,Negative,No
I think my account has been compromised.,Security,Negative,No
I received a password reset email I didn't request.,Security,Negative,No
There was a login attempt from an unknown location.,Security,Negative,No
My security settings changed without my permission.,Security,Negative,No
How do I enable two-factor authentication?,Security,Neutral,No
Where can I review recent login activity?,Security,Neutral,No
Can I change my security questions?,Security,Neutral,No
How often should I update my password?,Security,Neutral,No
Where can I manage trusted devices?,Security,Neutral,No
Can I receive login alerts by email?,Security,Neutral,No
How do I check if my account is secure?,Security,Neutral,No
What security features are available?,Security,Neutral,No
Two-factor authentication is working great.,Security,Positive,No
Thanks for helping secure my account.,Security,Positive,No
The suspicious activity issue has been resolved.,Security,Positive,No
I appreciate the quick response to my security concern.,Security,Positive,No
"Everything looks secure now, thank you.",Security,Positive,No
The account recovery process worked perfectly.,Security,Positive,No
My email john.smith@email.com received a suspicious login alert.,Security,Negative,Yes
Please check account ID 874521 for unauthorized activity.,Security,Negative,Yes
My phone number 9876543210 is not receiving security codes.,Security,Negative,Yes
My subscription was cancelled without notice.,Subscription,Negative,No
I was charged after cancelling my subscription.,Subscription,Negative,No
My premium features disappeared even though I paid.,Subscription,Negative,No
I can't renew my subscription.,Subscription,Negative,No
The system says my subscription expired early.,Subscription,Negative,No
I was downgraded unexpectedly.,Subscription,Negative,No
My renewal payment failed.,Subscription,Negative,No
I lost access to subscriber benefits.,Subscription,Negative,No
How do I cancel my subscription?,Subscription,Neutral,No
What plans are available?,Subscription,Neutral,No
Can I upgrade my subscription?,Subscription,Neutral,No
When does my current plan expire?,Subscription,Neutral,No
Can I switch to a monthly plan?,Subscription,Neutral,No
How do I renew my membership?,Subscription,Neutral,No
What features are included in the premium plan?,Subscription,Neutral,No
Can I pause my subscription temporarily?,Subscription,Neutral,No
I successfully renewed my subscription.,Subscription,Positive,No
The upgrade process was very smooth.,Subscription,Positive,No
Thanks for helping me renew my plan.,Subscription,Positive,No
"My subscription is active again, thank you.",Subscription,Positive,No
Everything worked perfectly during renewal.,Subscription,Positive,No
I appreciate the quick help with my plan change.,Subscription,Positive,No
Please update subscription details for account ID 452178.,Subscription,Neutral,Yes
My email abc@gmail.com is linked to the wrong subscription.,Subscription,Negative,Yes
The subscription renewal for phone number 9876543210 failed.,Subscription,Negative,Yes
I tried to change my email but your system says it's already in use by another account. My email address is david_k@outlook.com.,Account,Negative,Yes
I am extremely worried because my account activity log shows successful logins I didn't make.,Security,Negative,No
I need assistance changing the billing administrator contact details.,Billing,Neutral,No
Please clarify if my account is classified as active or inactive.,Account,Neutral,No
Does the system auto-retry if a transaction is declined by the bank?,Billing,Neutral,No
The refund I was promised two weeks ago still hasn't arrived.,Billing,Negative,No
Thanks for making it simple to audit user permissions across our entire team.,Security,Positive,No
"I love the new dark mode interface, it looks fantastic and works smoothly.",Technical,Positive,No
Your checkout page is broken and won't let me complete my purchase.,Billing,Negative,No
What encryption standards are used for storing sensitive files on your servers?,Security,Neutral,No
Thank you for helping me transition our team seamlessly to the enterprise tier.,Subscription,Positive,No
Highly appreciate the ease of managing subscription seats for our expanding team.,Subscription,Positive,No
I am tired of dealing with these constant payment processing glitches.,Billing,Negative,No
"Appreciate the seamless migration tool, it moved all our files perfectly.",Technical,Positive,No
Your company refused to honor the promotional subscription price locked during signup.,Subscription,Negative,No
Please let me know if my corporate billing profile requires re-verification.,Billing,Neutral,No
An attacker has taken control of my profile and is sending spam to my contacts.,Security,Negative,No
The account creation page is completely broken and won't let me sign up.,Account,Negative,No
"The web portal loads instantly now, thanks to the engineering team for optimization.",Technical,Positive,No
Does the application compress files automatically before uploading them? You can reach me at 07700 900077.,Technical,Neutral,Yes
Can I combine two different individual subscriptions into a unified family plan?,Subscription,Neutral,No
Appreciate the instant email alerts whenever a new device authorizes access.,Security,Positive,No
The print preview layout is broken and clips off half of the report page. You can reach me at +44 20 7946 0192.,Technical,Negative,Yes
"I cannot remove a compromised device from my authorized list, the option errors out.",Security,Negative,No
Very pleased with how transparent and clear your invoices are.,Billing,Positive,No
My subscription was automatically renewed without any prior email notification or alert.,Subscription,Negative,No
Could you guide me on how to map custom fields using your import wizard?,Technical,Neutral,No
How can I clear the cache and cookies specifically within your mobile app?,Technical,Neutral,No
I need assistance setting up the synchronization between the web and mobile apps.,Technical,Neutral,No
Your technical support rep provided the perfect workaround for our legacy system.,Technical,Positive,No
Where can I find the option to export all my account data in CSV format?,Account,Neutral,No
I requested an account deletion weeks ago and my data is still showing up online.,Account,Negative,No
Your technical team went above and beyond to help us configure our server connection.,Technical,Positive,No
I am trying to find where the billing history page is hidden in the settings.,Billing,Neutral,No
"The webhooks are failing to deliver payloads to our server, causing major delays.",Technical,Negative,No
Received my refund ahead of schedule. Excellent customer care! My account reference number is CUST-2026-M.,Billing,Positive,Yes
Is there a discount available if we purchase a subscription for over fifty users?,Subscription,Neutral,No
I am extremely frustrated by the lack of transparency in your pricing.,Billing,Negative,No
Is there a known service outage affecting the dashboard right now?,Technical,Neutral,No
Is there a limit to how many profiles can be created under one organization?,Account,Neutral,No
Your platform is forcing me to use a weak password layout which is a huge security risk.,Security,Negative,No
"Thanks for fixing the image rendering glitch, our portfolio looks great now.",Technical,Positive,No
How do I disconnect my Google account from this login?,Account,Neutral,No
The profile settings page takes forever to load and then just crashes my browser.,Account,Negative,No
The security settings screen crashes whenever I toggle the two-factor setting.,Security,Negative,No
Could you verify the creation date of my current user account?,Account,Neutral,No
I am having trouble finding where the profile edit button is located.,Account,Neutral,No
I received a login alert from an unfamiliar location and want to verify the IP address.,Security,Neutral,No
Your system allowed someone else to register an account using my business name.,Account,Negative,No
Your system randomly changed my profile language to one I don't speak.,Account,Negative,No
I need a manager to call me regarding a fraudulent charge on my corporate card.,Billing,Negative,No
The billing department made a huge mistake on our enterprise contract invoice.,Billing,Negative,No
How do I switch my payment method specifically for the subscription renewal?,Subscription,Neutral,No
"The password reset link arrived in my inbox within seconds, thank you!",Security,Positive,No
I am looking for information on how to update my payment details.,Billing,Neutral,No
Why is it so hard to just update a simple phone number on this platform? You can reach me at 555-921-3042.,Account,Negative,Yes
I am getting a memory leak warning from my system while running your background agent.,Technical,Negative,No
Could you check if my account has been fully verified yet?,Account,Neutral,No
The support team was very understanding when I needed to recover an old handle.,Account,Positive,No
How do I set up alert thresholds for unusual volume downloads? You can reach me at 07700 900077.,Security,Neutral,Yes
I keep getting an error saying my account is restricted but nobody will tell me why.,Account,Negative,No
I am locked in an endless loop of identity verification checks and cannot log in.,Security,Negative,No
Does the listed price include local sales tax or is that added later?,Billing,Neutral,No
I'm completely locked out of my account after trying to update my profile details. My account reference number is usr_9482.,Account,Negative,Yes
"I was confused about the invoice, but your team explained it perfectly. Thanks!",Billing,Positive,No
Your company refused to refund me for an accidental double click during checkout. My account reference number is ID_77301B.,Billing,Negative,Yes
Excellent customer support! They helped me secure my compromised profile immediately.,Security,Positive,No
I am locked out of my account because your system failed to save my updated details.,Account,Negative,No
"I received a login alert for a device I have never owned, this is alarming.",Security,Negative,No
How do I upgrade my subscription path from monthly to a biennial arrangement?,Subscription,Neutral,No
I was penalized with a late fee because your payment gateway was down on the due date.,Billing,Negative,No
My corporate subscription was suspended due to a glitch on your internal renewal end.,Subscription,Negative,No
"Your server response times are hovering around ten seconds, which is unacceptable.",Technical,Negative,No
What happens if a user inputs an incorrect password too many times consecutively?,Security,Neutral,No
Very satisfied with the value provided in the basic paid subscription plan.,Subscription,Positive,No
Appreciate the complimentary extension granted to our non-profit organization.,Subscription,Positive,No
Your portal says my account doesn't exist when I literally logged in yesterday.,Account,Negative,No
I noticed an unauthorized IP in my access logs; how do I force log out all users?,Security,Neutral,No
Everything is working perfectly after following your clear troubleshooting steps.,Technical,Positive,No
What is the procedure for merging two separate user accounts?,Account,Neutral,No
Thank you for sending over the itemized tax statement so quickly.,Billing,Positive,No
Shoutout to support for fixing my billing issue in under five minutes.,Billing,Positive,No
How long does the trial subscription last before it transitions to a paid plan?,Subscription,Neutral,No
What coding languages are supported by your official SDKs?,Technical,Neutral,No
I found a backdoor in your integration script that exposes user access tokens.,Security,Negative,No
When exactly is the next renewal date for my current annual subscription?,Subscription,Neutral,No
"Is it possible to disable login notifications for known, trusted devices?",Security,Neutral,No
The invoice link sent to my email leads to a blank 404 page.,Billing,Negative,No
How can I downgrade my account back to the free tier without losing data?,Subscription,Neutral,No
How long does it typically take for a processed refund to show up in my bank? My account reference number is ACC-94821.,Billing,Neutral,Yes
Why am I being forced to store my credit card details on your site?,Billing,Negative,No
I cannot link my corporate email because your system classifies it as spam.,Account,Negative,No
The image upload tool fails every single time I try to attach a file.,Technical,Negative,No
"Thank you for the detailed API documentation, it made development effortless.",Technical,Positive,No
I am furious that my profile bio was flagged for policy violation when it's completely benign.,Account,Negative,No
Why is it so difficult to speak to a real person about a financial error?,Billing,Negative,No
"Updating my profile picture and details was so easy, love the clean interface.",Account,Positive,No
Thank you for grandfathering our account into the older subscription pricing tier. You can reach me at +44 20 7946 0192.,Subscription,Positive,Yes
I am deeply concerned about the lack of end-to-end encryption for stored files. My account reference number is #84021A.,Security,Negative,Yes
I am looking for the option to set up a legacy contact for my account.,Account,Neutral,No
What is the maximum file size limit for uploading data via the web interface? You can reach me at +1-555-0143.,Technical,Neutral,Yes
I am receiving persistent login alerts from another country and feel extremely unsafe.,Security,Negative,No
How can I check the current status of your cloud servers and API response times?,Technical,Neutral,No
How do I clear the security history log from my main dashboard?,Security,Neutral,No
I am locked out of my account because of a supposed billing issue that makes no sense.,Billing,Negative,No
The hardware security key option works flawlessly on your system.,Security,Positive,No
I'm trying to update my profile but keep getting a vague 'Internal Server Error'.,Account,Negative,No
Your platform failed to notify me when my account password was changed.,Security,Negative,No
Could you guide me on how to update my professional title in my profile?,Account,Neutral,No
Your support agent was highly professional while helping me set up an authenticator app.,Security,Positive,No
I need to add our company's tax ID number to all future invoices.,Billing,Neutral,No
An unauthorized user managed to purchase items using my saved corporate profile.,Security,Negative,No
The system says my payment is overdue but I have proof of transaction right here.,Billing,Negative,No
Shoutout to the team for making account setup incredibly intuitive.,Account,Positive,No
What is the maximum length allowed for account passwords on your system?,Security,Neutral,No
I am stuck on an old broken subscription plan that won't let me upgrade or downgrade.,Subscription,Negative,No
What specific features are included in the Pro plan versus the Team plan?,Subscription,Neutral,No
I need to review the terms of service that I accepted during account setup.,Account,Neutral,No
Where can I download the VAT receipt for my recent purchase?,Billing,Neutral,No
How can I toggle the hardware acceleration setting inside the graphics menu?,Technical,Neutral,No
Thanks for the prompt response regarding my payment confirmation.,Billing,Positive,No
Your API keeps throwing random timeout errors during routine data requests.,Technical,Negative,No
"The cancellation process forces me to go through ten different pages of surveys, stop this!",Subscription,Negative,No
I am looking for instructions on how to run the software on a Linux environment.,Technical,Neutral,No
I am getting a continuous internal server error 500 when opening the dashboard.,Technical,Negative,No
"The annual discount plan saved our company a lot of money, thank you so much.",Subscription,Positive,No
The text editor inside the app keeps lagging behind my typing completely.,Technical,Negative,No
I need urgent help as my business account has been locked due to an administrative bug.,Account,Negative,No
How do I transfer ownership of this account to another team member?,Account,Neutral,No
Very pleased with the granular access controls available for project folders.,Security,Positive,No
Thanks for resolving my locked account issue securely and efficiently. My email address is david_k@outlook.com.,Security,Positive,Yes
Brilliant support! Thanks for helping me update my credit card details without any hassle.,Billing,Positive,No
"Fantastic service, the representative fixed my invoice mismatch instantly.",Billing,Positive,No
The system downgraded my account by mistake and wiped out all our custom dashboards.,Subscription,Negative,No
Your latest software update completely broke my existing third-party integrations.,Technical,Negative,No
The invoice generated has the wrong company name and your system won't let me edit it.,Billing,Negative,No
What ports need to be open to allow connection to your remote database?,Technical,Neutral,No
I am glad to see your platform takes user privacy and data security so seriously.,Security,Positive,No
Where do I enter the verification token sent to my backup phone number?,Security,Neutral,No
I upgraded my subscription package but none of the premium features have unlocked.,Subscription,Negative,No
Is there a way to hide my profile details from public search engines?,Account,Neutral,No
How can I download a comprehensive summary of all our historical subscriptions?,Subscription,Neutral,No
This is the third time I've reached out about this incorrect invoice and no one has fixed it.,Billing,Negative,No
Your support team closed my account recovery ticket without actually helping me.,Account,Negative,No
Is it possible to have multiple email addresses linked to one account?,Account,Neutral,No
How can I request a complete summary of all data stored about my account?,Account,Neutral,No
Thanks for offering a flexible student discount on your premium subscriptions.,Subscription,Positive,No
"Your system keeps dropping my connection every two minutes, this is infuriating.",Technical,Negative,No
Data synchronization between my devices has stopped working entirely.,Technical,Negative,No
You increased the subscription price drastically without giving any advance notice.,Subscription,Negative,No
The data sync between devices is lightning fast now. Excellent work!,Technical,Positive,No
I need to update the contact person listed on our organizational profile. My email address is sara.smith.tech@yahoo.com.,Account,Neutral,Yes
How do I cancel my subscription before the next automatic billing cycle begins?,Subscription,Neutral,No
I am seeing text and layouts overlapping massively after the recent UI overhaul. My email address is john.baker99@gmail.com.,Technical,Negative,Yes
I need assistance configuring IP whitelisting for our administrative portal. My email address is sara.smith.tech@yahoo.com.,Security,Neutral,Yes
I am unable to remove extra user seats from my subscription to lower the cost.,Subscription,Negative,No
I am impressed by the speed at which your team handled our security questionnaire.,Security,Positive,No
I'm grateful for the quick resolution to my payment processing problem.,Billing,Positive,No
Please clarify if my subscription includes access to advanced API integrations. You can reach me at +44 20 7946 0192.,Subscription,Neutral,Yes
Exceptional assistance with changing my currency settings.,Billing,Positive,No
I need to update my phone number for account notifications. My email address is m.jones@protonmail.com.,Account,Neutral,Yes
What version of the database is required to run this integration smoothly?,Technical,Neutral,No
The drag-and-drop file uploader is completely dead and does not respond to input.,Technical,Negative,No
I am unable to install the desktop app because the installer file is corrupted.,Technical,Negative,No
Could you explain your platform's policy regarding data breaches and notifications?,Security,Neutral,No
"Thank you for the instant notification about the suspicious login, very reassuring!",Security,Positive,No
Please help me re-trigger the account verification email.,Account,Neutral,No
"Thanks for resolving that API bug so quickly, our dev team is thrilled. You can reach me at +44 20 7946 0192.",Technical,Positive,Yes
I keep getting phishing emails that look exactly like your official communications.,Security,Negative,No
Our entire corporate network is locked out because of a false positive security rule. My email address is m.jones@protonmail.com.,Security,Negative,Yes
I cannot change my account ownership because the current admin left the company.,Account,Negative,No
"Wow, the integration with our CRM worked flawlessly on the first attempt.",Technical,Positive,No
I am extremely pleased with the exclusive content unlocked via my subscription.,Subscription,Positive,No
Awesome support! They found a mistake in my favor and refunded me immediately.,Billing,Positive,No
Is there a discount available for paying multiple months upfront?,Billing,Neutral,No
I am furious that you suspended my services due to a glitch on your payment end.,Billing,Negative,No
Your software is throwing an undocumented error code and your documentation is useless. You can reach me at 555-921-3042.,Technical,Negative,Yes
Could you tell me when the next automatic payment is scheduled?,Billing,Neutral,No
I am unable to change my password because the security section won't load.,Security,Negative,No
I cancelled my subscription last month but your company still charged me today!,Subscription,Negative,No
Is there an official extension available for Google Chrome users?,Technical,Neutral,No
I am unable to change my country settings which is blocking me from vital features.,Account,Negative,No
"The automated backup feature saved our progress today, thank you so much!",Technical,Positive,No
Your support team is ignoring my cancellation request and keeping my account active.,Subscription,Negative,No
The multi-user subscription plan works perfectly for our small agency.,Subscription,Positive,No
Your platform charged me even though I closed my account last month!,Billing,Negative,No
This overcharge is ridiculous and I want it sorted out immediately. My email address is sara.smith.tech@yahoo.com.,Billing,Negative,Yes
Your subscription terms are completely predatory and misleading to customers.,Subscription,Negative,No
I am losing money because my account was frozen over an unverified billing glitch.,Billing,Negative,No
I am getting an error code every time I try to accept an account invitation.,Account,Negative,No
How can I report a potential security vulnerability found within your web application?,Security,Neutral,No
Your analytics dashboard is displaying completely inaccurate and broken charts.,Technical,Negative,No
Thank you for enforcing strong password requirements to keep everyone safe.,Security,Positive,No
How do I opt out of automatic upgrades for my subscription package?,Subscription,Neutral,No
Very impressed with the level of control I have over my account settings. My account reference number is ACC-94821.,Account,Positive,Yes
Could you explain how to interpret the error code 403 on the sync screen?,Technical,Neutral,No
Please confirm if my payment method was updated successfully.,Billing,Neutral,No
I've been charged twice for the same service this month. This is unacceptable! My email address is m.jones@protonmail.com.,Billing,Negative,Yes
I am dealing with a corrupted profile that causes the entire app to glitch out.,Account,Negative,No
Thanks for resolving my subscription tier mismatch problem within minutes.,Subscription,Positive,No
The file export functionality is broken and downloads empty corrupted documents.,Technical,Negative,No
I am looking for a guide on how to deploy this script via Docker containers.,Technical,Neutral,No
Your app does not prompt for re-authentication when modifying critical security details.,Security,Negative,No
The automated billing system generated a double subscription charge on my card.,Subscription,Negative,No
What are the minimum system requirements for running the desktop application?,Technical,Neutral,No
Your site keeps rejecting my subscription renewal payment for no understandable reason.,Subscription,Negative,No
Appreciate the quick confirmation regarding my updated account status. My email address is sara.smith.tech@yahoo.com.,Account,Positive,Yes
Thank you for notifying me before the automatic charge took place. My account reference number is #84021A.,Billing,Positive,Yes
"The platform is running incredibly smooth today, kudos to the dev team.",Technical,Positive,No
The self-service account portal resolved my issue in seconds. Fantastic! You can reach me at +1-555-0143.,Account,Positive,Yes
My two-factor authentication code is being rejected by your system as invalid.,Security,Negative,No
I am locked out because your authenticator sync broke after the system update.,Security,Negative,No
"Does my subscription automatically renew, or do I need to authorize it manually?",Subscription,Neutral,No
The application window resizes itself randomly and elements disappear from view.,Technical,Negative,No
The trial subscription automatically charged me the full rate without sending an alert.,Subscription,Negative,No
Someone added an unauthorized backup email address to my account profile. My account reference number is ID_77301B.,Security,Negative,Yes
Where are the configuration files stored locally on a Windows machine?,Technical,Neutral,No
How do I apply a promotional voucher to an already active subscription?,Subscription,Neutral,No
How can I check how many subscription credits are remaining for this month?,Subscription,Neutral,No
I need to update the billing address listed on my corporate account.,Billing,Neutral,No
The custom webhook feature is working perfectly for our automation pipeline. My email address is m.jones@protonmail.com.,Technical,Positive,Yes
I am furious that I am being charged for user seats that have been inactive for months.,Subscription,Negative,No
You are overcharging me for user seats that I deleted months ago. My email address is m.jones@protonmail.com.,Billing,Negative,Yes
Someone managed to change my account password without my authorization or consent. My account reference number is #84021A.,Security,Negative,Yes
I'm so glad your support team managed to recover my old profile data.,Account,Positive,No
The subscription billing cycle is completely out of sync with my original agreement.,Subscription,Negative,No
Can I get a PDF copy of my invoice for the month of April?,Billing,Neutral,No
Great job by the security team for identifying a phishing attempt targeting users.,Security,Positive,No
I am extremely angry that my account name was changed without my permission.,Account,Negative,No
Where can I see the breakdown of active user seats under our subscription?,Subscription,Neutral,No
I want a complete refund for the remaining months of my canceled annual subscription.,Subscription,Negative,No
Thanks for making it simple to upgrade user tiers during peak project months.,Subscription,Positive,No
Thanks for the prompt bug fix on the file export module.,Technical,Positive,No
Thanks to support for helping me choose the perfect plan for my freelance business.,Subscription,Positive,No
The export data feature worked perfectly and downloaded all my records instantly.,Account,Positive,No
The session timeout feature is broken and keeps me logged in indefinitely on public PCs.,Security,Negative,No
I tried to update my card but your site says 'service unavailable'. Fix this now.,Billing,Negative,No
I am looking for details on your non-profit and educational subscription options.,Subscription,Neutral,No
Your verification process is broken; I've uploaded my ID three times already.,Account,Negative,No
How do I update the application to the latest version on a Mac?,Technical,Neutral,No
Switching from the monthly to the yearly subscription model was incredibly smooth.,Subscription,Positive,No
Why does my statement show a pending charge from your company?,Billing,Neutral,No
Changing my registered email address was a breeze. Thank you!,Account,Positive,No
"The plugin is working exactly as advertised, setup was a breeze.",Technical,Positive,No
How do I reset the developer API tokens from the dashboard?,Technical,Neutral,No
"The latest software update fixed the latency issue, the app is running incredibly fast now!",Technical,Positive,No
I demand an immediate refund for the downtime we experienced last week.,Billing,Negative,No
I am locked out of my premium workspace because your subscription verification failed.,Subscription,Negative,No
Where are the privacy and data sharing settings located in the menu?,Account,Neutral,No
Can I temporarily deactivate my account instead of deleting it permanently?,Account,Neutral,No
How do I configure the API endpoints to connect with my local server?,Technical,Neutral,No
Shoutout to the team for making subscription management so transparent and clear.,Subscription,Positive,No
I cannot change my subscription plan because the system says a modification is pending.,Subscription,Negative,No
Your platform charged my credit card for a subscription renewal after I removed the card.,Subscription,Negative,No
"Does canceling my subscription immediately revoke access, or at the end of the term?",Subscription,Neutral,No
Excellent service! The agent walked me through the account migration step by step.,Account,Positive,No
I cannot generate a new API key because the generation button returns a blank error.,Technical,Negative,No
Where do I find the cancellation button inside the subscription settings panel?,Subscription,Neutral,No
Great job on making the profile management section so accessible.,Account,Positive,No
I am experiencing massive lag and latency that makes the platform unusable. My account reference number is #84021A.,Technical,Negative,Yes
I cannot delete my account because the 'Delete' button is completely grayed out.,Account,Negative,No
I cannot complete the security question form because it keeps throwing a database error. You can reach me at 555-921-3042.,Security,Negative,Yes
How do I change my default billing currency to Euros?,Billing,Neutral,No
The mobile app is draining my device battery completely in less than an hour.,Technical,Negative,No
Is it possible to split the monthly payment across two different credit cards?,Billing,Neutral,No
"Upgraded to the premium tier today, the feature set is absolutely amazing!",Subscription,Positive,No
The 'Cancel Subscription' button is completely missing from my settings panel. My account reference number is #84021A.,Subscription,Negative,Yes
Please explain how your platform handles data isolation for enterprise tenants.,Security,Neutral,No
The single sign-on system failed and threw an exposed stack trace showing internal variables.,Security,Negative,No
"Super happy with the auto-billing feature, makes things so much easier.",Billing,Positive,No
The onboarding checklist is stuck and won't let me access my main dashboard.,Account,Negative,No
Can you clarify if your mobile application uses biometric data locally or on servers?,Security,Neutral,No
The onboarding flow for new users is top-notch. Keep it up!,Account,Positive,No
The password reset link you sent me is expired or invalid every single time I click it.,Security,Negative,No
My payment failed multiple times but the funds were still deducted from my account.,Billing,Negative,No
How do I set up a custom webhook to trigger on specific data updates? You can reach me at +44 20 7946 0192.,Technical,Neutral,Yes
The screen is totally frozen on a white loading spinner and nothing happens.,Technical,Negative,No
"Everything is up and running perfectly now, thanks for the solid engineering.",Technical,Positive,No
Thanks for confirming that the unusual activity alert was a false alarm.,Security,Positive,No
What should I do if I suspect an old employee still has cached access credentials?,Security,Neutral,No
Is it possible to change the primary account administrator? You can reach me at 07700 900077.,Account,Neutral,Yes
The account verification process took less than a minute. Great work.,Account,Positive,No
I appreciate the detailed security log history available in the user dashboard.,Security,Positive,No
I suspect my API keys were leaked because of an unencrypted transmission on your end. My account reference number is usr_9482.,Security,Negative,Yes
Where can I find the setting to require periodic password updates for my team?,Security,Neutral,No
Where is the option to set up custom session timeout limits for security?,Security,Neutral,No
I discovered that our private company data has been leaked publicly due to your glitch.,Security,Negative,No
The system auto-renewed me against my wishes and took my money.,Billing,Negative,No
The formatting of imported CSV files is completely garbled by your system.,Technical,Negative,No
Does the platform support multi-threading for faster data processing?,Technical,Neutral,No
Why did my bill double without any prior notice or explanation?,Billing,Negative,No
I was charged a hidden fee that was never mentioned during sign-up. You can reach me at +61 2 9374 2211.,Billing,Negative,Yes
Your web application is completely unresponsive on mobile browsers.,Technical,Negative,No
The process of scaling up our API subscription tier was completely seamless.,Subscription,Positive,No
Is there a way to roll back to the previous software version if needed?,Technical,Neutral,No
What happens to my data if a scheduled payment fails? My email address is david_k@outlook.com.,Billing,Neutral,Yes
The subscription reactivation process took just one click. Fantastic user experience!,Subscription,Positive,No
"The verification code email takes over thirty minutes to arrive, making it expire.",Security,Negative,No
The profile migration went off without a single hitch. Wonderful!,Account,Positive,No
Could you check if my payment went through? I haven't received a receipt.,Billing,Neutral,No
Thanks for clearing up the confusion about my account creation date.,Account,Positive,No
How can I update my profile region and country code?,Account,Neutral,No
How can I verify that my connection to your servers is fully encrypted?,Security,Neutral,No
Where can I find your company's latest security compliance and SOC 2 reports?,Security,Neutral,No
Your support agent was incredibly polite when helping me resolve my overcharge.,Billing,Positive,No
Where do I find the documentation for your platform's GraphQL API? My account reference number is usr_9482.,Technical,Neutral,Yes
My profile information keeps reverting back to old data every time I save it.,Account,Negative,No
"Thanks for implementing passkey support, it makes logging in secure and fast.",Security,Positive,No
"Thank you for reversing that duplicate charge so quickly, amazing service!",Billing,Positive,No
The system failed to save my progress and I just lost three hours of hard work!,Technical,Negative,No
The search bar functionality is completely broken and returns zero results. My account reference number is ID_77301B.,Technical,Negative,Yes
Your billing portal is incredibly confusing and caused me to overpay.,Billing,Negative,No
Your platform is forcing me to fill out unnecessary personal details to continue.,Account,Negative,No
Please guide me on how to restrict download permissions for specific user roles.,Security,Neutral,No
